comp	usubs	uniprot	avgcoex	def	species
1113	6	Q8WUA4	NA	UN	human
1114	9	Q92994	NA	NA	human
1114	9	Q92664	NA	NA	human
1114	9	P20226	0.185925	NA	human
1114	9	Q9Y5Q8	0.185	NA	human
1114	9	Q12789	NA	UN	human
1114	9	Q9Y5Q9	0.2258	UN	human
1114	9	A6H8Y1	NA	NA	human
1114	9	Q9UKN8	0.22475	UN	human
1114	9	Q8WUA4	NA	UN	human
1116	3	O15392	NA	NA	human
1116	3	O14980	0.2484	UN	human
1116	3	Q96GD4	0.51495	ED	human
1117	2	O15392	NA	NA	human
1117	2	O14980	0.2432	UN	human
1119	4	O15392	NA	NA	human
1119	4	Q53HL2	NA	ED	human
1119	4	Q9NQS7	NA	NA	human
1119	4	Q96GD4	0.641166666667	ED	human
112	6	Q9NQP4	NA	ED	human
112	6	O60925	NA	NA	human
112	6	P61758	0.26752	ED	human
112	6	Q99471	NA	NED	human
112	6	Q9UHV9	NA	UN	human
112	6	O15212	NA	UN	human
1121	2	Q9H4A3	NA	NA	human
1121	2	O95747	0.2098	ED	human
1123	2	Q9UEW8	NA	NA	human
1123	2	Q9H4A3	NA	NA	human
1130	2	O75146	0.2543	NA	human
1130	2	Q14247	NA	ED	human
1131	2	P35250	NA	UN	human
1131	2	P30153	NA	UN	human
1132	2	P30153	NA	UN	human
1132	2	P35249	NA	NA	human
1133	2	Q92769	NA	NA	human
1133	2	Q13535	NA	NA	human
1134	3	Q92769	NA	NA	human
1134	3	Q14839	NA	NA	human
1134	3	Q13535	NA	NA	human
1137	5	P63027	0.145233333333	NA	human
1137	5	O14810	NA	NA	human
1137	5	Q8WVH0	NA	NA	human
1137	5	P60880	NA	NA	human
1137	5	Q16623	NA	NA	human
1138	5	P63027	0.1227	NA	human
1138	5	Q7Z7G2	NA	NA	human
1138	5	Q8WVH0	NA	NA	human
1138	5	P60880	NA	NA	human
1138	5	Q16623	NA	NA	human
1139	7	P63027	0.13355	NA	human
1139	7	Q13277	NA	NA	human
1139	7	Q16623	NA	NA	human
1139	7	Q7Z7G2	NA	NA	human
1139	7	Q8WVH0	NA	NA	human
1139	7	P60880	NA	NA	human
1139	7	O14810	NA	NA	human
114	5	Q13487	NA	NA	human
114	5	Q5SXM2	NA	NA	human
114	5	Q16533	NA	NA	human
114	5	O75971	NA	NA	human
114	5	Q92966	NA	NA	human
1140	3	Q8WVH0	NA	NA	human
1140	3	Q13277	NA	NA	human
1140	3	O14810	NA	NA	human
1141	16	Q14444	NA	NA	human
1141	16	Q16630	NA	NA	human
1141	16	O43809	NA	ED	human
1141	16	P19447	NA	NED	human
1141	16	Q01081	0.24732	UN	human
1141	16	P26599	NA	UN	human
1141	16	Q07157	0.0834266666667	ED	human
1141	16	O60231	0.21324	ED	human
1141	16	Q8N684	0.1631	NA	human
1141	16	P23246	NA	UN	human
1141	16	Q92989	NA	NA	human
1141	16	P26368	NA	NA	human
1141	16	O94913	NA	NA	human
1141	16	Q92759	NA	NA	human
1141	16	Q9UKF6	NA	UN	human
1141	16	P49959	NA	NA	human
1143	16	P14678	NA	NA	human
1143	16	P62306	NA	ED	human
1143	16	P57678	NA	NA	human
1143	16	Q8TEQ6	NA	ED	human
1143	16	Q9Y3F4	NA	ED	human
1143	16	O14893	0.329564285714	NA	human
1143	16	P62314	NA	ED	human
1143	16	Q9NWZ8	NA	NA	human
1143	16	P62304	NA	UN	human
1143	16	P62316	NA	UN	human
1143	16	Q8WXD5	0.38255	NA	human
1143	16	Q9H840	0.276614285714	NA	human
1143	16	P62308	NA	ED	human
1143	16	Q16637	NA	NA	human
1143	16	Q9UHI6	NA	ED	human
1143	16	P62318	NA	NA	human
1144	5	Q10570	NA	UN	human
1144	5	Q6UN15	0.212025	NA	human
1144	5	Q9UKF6	NA	UN	human
1144	5	Q9P2I0	NA	UN	human
1144	5	O95639	NA	NA	human
1146	3	Q05048	NA	ED	human
1146	3	P33240	NA	NA	human
1146	3	Q12996	NA	UN	human
1147	7	Q10570	NA	UN	human
1147	7	Q05048	NA	ED	human
1147	7	P33240	NA	NA	human
1147	7	Q9P2I0	NA	UN	human
1147	7	Q92797	0.146583333333	UN	human
1147	7	Q12996	NA	UN	human
1147	7	Q9UKF6	NA	UN	human
1148	4	P17844	NA	ED	human
1148	4	P09012	NA	UN	human
1148	4	Q15233	NA	UN	human
1148	4	P23246	NA	UN	human
1149	10	P68431	0.04545	ED	human
1149	10	Q13111	NA	ED	human
1149	10	Q09028	NA	NA	human
1149	10	P62805	NA	NED	human
1149	10	O14929	0.2871	ED	human
1149	10	P49321	NA	ED	human
1149	10	Q8TEX9	0.179625	UN	human
1149	10	Q9Y294	NA	ED	human
1149	10	Q13112	0.317475	ED	human
1149	10	Q9NVP2	NA	ED	human
1150	9	P54198	0.173766666667	NA	human
1150	9	P84243	NA	NA	human
1150	9	Q09028	NA	NA	human
1150	9	O14929	0.316	ED	human
1150	9	P62805	NA	NED	human
1150	9	P49321	NA	ED	human
1150	9	Q8TEX9	0.165416666667	UN	human
1150	9	Q9Y294	NA	ED	human
1150	9	Q9NVP2	NA	ED	human
1153	12	Q96CB8	NA	NA	human
1153	12	Q9NV88	NA	NA	human
1153	12	Q9NVH2	NA	NA	human
1153	12	Q68E01	NA	NA	human
1153	12	Q9NVR2	NA	NA	human
1153	12	Q96HW7	0.209245454545	NED	human
1153	12	Q8N201	NA	UN	human
1153	12	Q75QN2	NA	NA	human
1153	12	Q5TA45	NA	NA	human
1153	12	Q9H0H0	NA	NA	human
1153	12	Q9UL03	NA	NA	human
1153	12	Q6P9B9	0.176372727273	NA	human
1154	13	Q96HW7	0.207263636364	NED	human
1154	13	Q9NV88	NA	NA	human
1154	13	Q9NVH2	NA	NA	human
1154	13	P60896	0.1319	NA	human
1154	13	P51587	NA	NA	human
1154	13	Q9NVR2	NA	NA	human
1154	13	Q96PV6	NA	NA	human
1154	13	Q75QN2	NA	NA	human
1154	13	Q5TA45	NA	NA	human
1154	13	A6H687	NA	NA	human
1154	13	Q9H0H0	NA	NA	human
1154	13	Q9UL03	NA	NA	human
1154	13	Q6P9B9	0.1522	NA	human
1155	14	Q96CB8	NA	NA	human
1155	14	Q9NV88	NA	NA	human
1155	14	Q9NVH2	NA	NA	human
1155	14	P24928	NA	NED	human
1155	14	Q68E01	NA	NA	human
1155	14	Q9NVR2	NA	NA	human
1155	14	Q96HW7	0.198276923077	NED	human
1155	14	Q8N201	NA	UN	human
1155	14	Q75QN2	NA	NA	human
1155	14	P30876	NA	NA	human
1155	14	Q5TA45	NA	NA	human
1155	14	Q9H0H0	NA	NA	human
1155	14	Q9UL03	NA	NA	human
1155	14	Q6P9B9	0.180438461538	NA	human
1159	2	Q9UK53	NA	NA	human
1159	2	Q13547	NA	NED	human
116	13	Q8NDX5	0.123833333333	NA	human
116	13	P35226	NA	NA	human
116	13	P78364	NA	NA	human
116	13	Q14781	0.0773416666667	NA	human
116	13	O60264	0.129575	NED	human
116	13	P25490	0.178533333333	ED	human
116	13	Q96GD3	NA	NA	human
116	13	Q99496	NA	NA	human
116	13	Q8IXK0	NA	NA	human
116	13	Q06587	NA	ED	human
116	13	O00257	0.118716666667	UN	human
116	13	Q9HC52	NA	NA	human
116	13	P08107	NA	UN	human
1160	3	Q09472	NA	NA	human
1160	3	Q9UK53	NA	NA	human
1160	3	P12004	NA	ED	human
1162	5	Q13619	0.223275	UN	human
1162	5	Q16531	NA	NED	human
1162	5	Q92466	NA	NA	human
1162	5	P62877	0.1814	ED	human
1162	5	Q13620	0.160825	NA	human
1165	3	Q5VTR2	NA	UN	human
1165	3	O75150	0.064	NA	human
1165	3	P51965	0.1493	NA	human
1166	6	Q9Y265	0.401875	ED	human
1166	6	P60709	NA	ED	human
1166	6	Q9Y230	NA	UN	human
1166	6	Q96L91	NA	NA	human
1166	6	O96019	0.318325	ED	human
1166	6	Q9Y4A5	0.28595	NA	human
1167	5	Q6PD62	0.273375	UN	human
1167	5	Q9GZS3	0.2487	ED	human
1167	5	Q6P1J9	0.226025	ED	human
1167	5	Q8N7H5	NA	NA	human
1167	5	Q8WVC0	NA	NA	human
1168	3	Q15477	NA	UN	human
1168	3	Q9GZS3	0.19135	ED	human
1168	3	Q6PGP7	0.159	NED	human
1169	4	Q9BV40	0.1886	NA	human
1169	4	O00161	0.327266666667	ED	human
1169	4	Q15836	0.322233333333	UN	human
1169	4	Q12846	NA	NA	human
117	4	P60033	0.1782	NA	human
117	4	P62873	NA	UN	human
117	4	Q9Y653	0.112633333333	NA	human
117	4	P29992	NA	UN	human
1170	5	Q9Y265	0.4249	ED	human
1170	5	Q9Y230	NA	UN	human
1170	5	O96019	0.3209	ED	human
1170	5	Q9Y4A5	0.206	NA	human
1170	5	P01106	NA	NA	human
1172	2	Q09161	NA	UN	human
1172	2	P52298	NA	NA	human
1173	3	Q9Y265	0.57015	ED	human
1173	3	Q9Y230	NA	UN	human
1173	3	O96019	0.4509	ED	human
1174	3	Q9H814	NA	ED	human
1174	3	Q09161	NA	UN	human
1174	3	P52298	NA	NA	human
1175	2	O96019	0.22	ED	human
1175	2	Q9Y4A5	0.22	NA	human
1176	5	P62826	NA	ED	human
1176	5	Q9H814	NA	ED	human
1176	5	Q09161	NA	UN	human
1176	5	P52298	NA	NA	human
1176	5	O14980	0.37295	UN	human
1177	3	O75530	0.3042	NA	human
1177	3	Q96EB6	NA	NA	human
1177	3	Q15910	NA	NA	human
1178	8	P63208	NA	UN	human
1178	8	Q6W2J9	NA	NA	human
1178	8	P11142	NA	UN	human
1178	8	Q06587	NA	ED	human
1178	8	Q99496	NA	NA	human
1178	8	Q8NHM5	0.117357142857	NA	human
1178	8	Q9BSM1	0.0953428571429	NA	human
1178	8	Q8N488	NA	NA	human
1179	13	Q6IPU0	NA	NA	human
1179	13	Q8N2Z9	NA	NA	human
1179	13	Q96H22	NA	NA	human
1179	13	Q9H3R5	NA	NA	human
1179	13	Q71F23	0.433345454545	NA	human
1179	13	Q7L2Z9	NA	NA	human
1179	13	Q9BU64	0.379572727273	NA	human
1179	13	Q13352	NA	NA	human
1179	13	Q96BT3	0.0517	NA	human
1179	13	Q9NSP4	0.401672727273	NA	human
1179	13	Q03188	NA	NA	human
1179	13	Q9BS16	NA	NA	human
1179	13	Q8N0S6	0.390036363636	NA	human
118	4	P37287	NA	NA	human
118	4	Q9BRB3	0.0140333333333	NA	human
118	4	Q92535	NA	NA	human
118	4	Q14442	NA	NA	human
1181	80	O75533	NA	UN	human
1181	80	Q9H307	NA	ED	human
1181	80	Q9P013	NA	NA	human
1181	80	O75643	NA	UN	human
1181	80	Q6UX04	NA	NA	human
1181	80	P38919	0.24615443038	UN	human
1181	80	P14678	NA	NA	human
1181	80	Q6NZY4	NA	NA	human
