prot	BRAIN	BROWN_ADIPOSE_TISSUE	HEART	KIDNEY	LIVER	LUNG	PANCREAS	SPLEEN	WHOLE_ORGANISM	tcount	def
Q6ZQ06	0.045	NA	0.014	NA	NA	NA	NA	NA	2.18	3	ED
Q8K0D0	0.604	0.828	0.728	0.035	0.054	2.92	1.76	0.567	1.27	9	ED
Q91XV3	335.0	47.0	1.76	0.497	0.235	4.55	6.3	66.3	290.0	9	ED
Q922Q2	NA	NA	NA	NA	NA	NA	NA	NA	0.558	1	ED
Q921I6	0.095	NA	NA	NA	NA	NA	0.175	NA	0.27	3	ED
P60330	0.012	NA	NA	NA	NA	NA	NA	0.156	2.85	3	ED
P60521	18.9	5.99	2.74	5.57	0.289	5.62	12.4	18.5	6.21	9	ED
Q921J4	0.266	NA	NA	NA	NA	NA	NA	0.947	67.9	3	ED
Q3UDK1-2	0.561	NA	NA	NA	NA	NA	NA	NA	0.721	2	ED
Q9CYL5	NA	3.07	0.726	0.603	0.178	84.2	4.43	4.76	10.3	8	ED
Q8VDM1	0.305	NA	NA	NA	NA	NA	NA	NA	17.0	2	ED
Q9CXS4	187.0	38.5	141.0	447.0	130.0	210.0	17.6	1.25	52.0	9	ED
Q8BG81	118.0	0.222	14.7	139.0	96.5	123.0	NA	1.37	58.4	8	ED
E9PW15	NA	NA	NA	NA	NA	NA	0.131	NA	30.3	2	ED
Q499E4-2	NA	NA	NA	NA	NA	NA	NA	NA	0.056	1	ED
Q99LB7	3.87	17.1	1.6	643.0	2135.0	13.0	334.0	2.61	130.0	9	ED
O88879	0.009	NA	0.104	0.031	0.004	11.7	0.164	37.0	13.1	8	ED
Q99JH1	NA	NA	NA	NA	0.227	NA	2.36	2.55	1.3	4	ED
O70126	NA	NA	NA	NA	NA	NA	NA	0.192	4.57	2	ED
Q811U4	0.29	14.5	32.6	4.8	6.57	6.11	0.485	1.53	1.81	9	ED
P56183-3	0.377	0.181	NA	NA	0.045	0.646	NA	13.6	46.3	6	ED
P63147	3.12	NA	0.413	1.55	NA	3.34	2.8	NA	3.34	6	ED
Q91WE6-2	0.049	NA	NA	NA	NA	NA	NA	NA	0.769	2	ED
O70306	NA	NA	NA	NA	NA	NA	NA	NA	0.082	1	ED
Q9CX11	0.104	NA	NA	NA	NA	NA	NA	1.67	1.96	3	ED
Q9D8Y1	1.6	16.9	2.01	8.29	15.6	1.07	6.28	4.49	13.6	9	ED
A0A087WR75	0.205	NA	0.003	NA	NA	13.2	4.35	5.15	29.9	6	ED
Q9Z2D0	1.97	1.1	0.032	NA	0.162	1.83	1.92	0.836	0.314	8	ED
Q5EBP3	NA	NA	NA	NA	NA	NA	NA	NA	0.267	1	ED
H9H9S3	0.052	NA	NA	NA	0.084	25.9	NA	1.57	1.57	5	ED
G3X8R5	0.212	0.924	NA	NA	0.078	3.97	0.961	11.0	15.2	7	ED
Q60790	1.27	1.35	0.146	NA	0.017	9.6	NA	118.0	1.83	7	ED
Q9CX60	0.498	NA	NA	NA	NA	0.789	31.2	NA	1.57	4	ED
Q61846	0.04	NA	NA	NA	NA	NA	NA	NA	13.2	2	ED
P99028	125.0	292.0	285.0	810.0	21.1	92.5	66.9	0.953	218.0	9	ED
A2A4Z1	NA	NA	NA	NA	0.211	NA	NA	75.9	13.9	3	ED
Q9CPW7	NA	1.8	0.3	NA	0.136	3.0	5.43	22.8	2.46	7	ED
Q9QZK2	0.175	5.32	0.027	NA	0.023	0.619	NA	NA	0.147	6	ED
Q91WR3	0.099	0.137	0.005	NA	0.415	0.462	7.38	0.884	18.4	8	ED
Q6ZPF4	0.137	NA	0.077	0.016	0.004	2.71	NA	0.623	1.1	7	ED
P17012	NA	NA	NA	NA	NA	NA	NA	NA	1.85	1	ED
E9Q6K3	NA	NA	NA	NA	NA	NA	NA	NA	0.042	1	ED
Q3UFS0	2.09	0.718	0.067	0.356	NA	0.496	0.087	0.473	7.69	8	ED
Q9Z2G6	54.2	9.86	0.325	13.9	220.0	122.0	73.1	10.2	8.46	9	ED
Q9EPN1-3	395.0	1.29	0.274	7.9	0.155	4.2	41.6	1.03	1.22	9	ED
A2APB8	NA	2.59	NA	NA	NA	NA	NA	0.455	5.19	3	ED
P48760-2	0.201	NA	NA	NA	NA	NA	NA	NA	0.181	2	ED
Q9QYC0-2	263.0	112.0	5.33	29.4	0.385	193.0	6.56	108.0	58.7	9	ED
F7CC56	8.6	0.104	0.04	NA	NA	3.31	0.599	0.198	0.454	7	ED
Q3KNM2	4.42	12.1	8.33	10.6	22.9	4.75	1.22	6.39	6.39	9	ED
Q9DBN5	0.021	9.79	NA	11.0	458.0	1.17	NA	0.679	20.5	7	ED
Q75NR7	0.022	NA	NA	NA	NA	NA	NA	NA	6.32	2	ED
Q8CCH7	0.046	NA	NA	NA	NA	NA	NA	NA	0.173	2	ED
Q9WVM1	0.029	NA	NA	NA	NA	NA	NA	NA	6.31	2	ED
P35951	0.4	0.533	NA	NA	1.5	3.06	1.64	0.089	6.17	7	ED
O88907	0.309	NA	NA	NA	8.05	NA	NA	0.102	1.13	4	ED
Q8C0Z1	0.456	2.44	0.46	16.6	11.2	1.06	15.4	NA	1.18	8	ED
P97480-2	NA	NA	0.004	NA	NA	NA	NA	0.381	0.957	3	ED
Q8VDU0	0.047	NA	14.7	NA	NA	NA	NA	NA	0.113	3	ED
Q99LN9	10.2	NA	14.9	19.8	0.081	0.313	0.663	7.56	76.9	8	ED
E0CY81	0.535	NA	NA	NA	NA	NA	NA	NA	1.74	2	ED
P70180	NA	NA	0.293	NA	NA	19.8	NA	NA	0.258	3	ED
E9QNX9	0.122	0.089	NA	0.426	0.254	0.907	0.24	0.158	0.65	8	ED
Q6NZL1	NA	NA	NA	NA	NA	NA	NA	0.251	1.84	2	ED
Q5RKZ7-2	0.079	6.98	0.603	0.192	5.52	2.9	15.0	3.27	4.97	9	ED
M0QWZ1	0.067	NA	NA	NA	NA	NA	NA	NA	9.41	2	ED
P70270	NA	NA	NA	NA	NA	NA	NA	NA	1.58	1	ED
Q8BIA4	NA	NA	NA	NA	NA	NA	NA	NA	8.42	1	ED
P26645	205.0	205.0	65.4	16.0	5.09	540.0	256.0	659.0	124.0	9	ED
Q80ZK9	0.112	NA	NA	NA	NA	NA	NA	NA	39.1	2	ED
Q6P6J9	NA	NA	NA	NA	NA	NA	0.028	NA	0.508	2	ED
P20352	7.19	NA	NA	NA	NA	38.9	NA	NA	2.43	3	ED
Q6XZL8	NA	NA	NA	NA	NA	NA	NA	NA	0.516	1	ED
O08580	0.06	NA	NA	NA	NA	NA	NA	NA	1.22	2	ED
P51943	NA	NA	NA	NA	NA	NA	NA	1.85	37.5	2	ED
Q3TVI8	0.974	1.05	53.9	NA	2.38	76.4	NA	0.954	3.72	7	ED
P27808	NA	0.164	0.022	0.129	0.054	NA	0.076	0.728	0.889	7	ED
F8VPN4	71.5	1082.0	405.0	77.3	278.0	29.9	10.4	7.87	46.4	9	ED
Q8BGT7	0.436	0.14	NA	29.7	8.07	1.49	1.9	14.7	82.0	8	ED
P58468	NA	NA	NA	NA	NA	NA	2.4	2.58	54.3	3	ED
Q8QZS3	NA	NA	NA	NA	NA	NA	NA	NA	18.8	1	ED
Q99JY8	8.66	NA	NA	13.6	0.077	2.39	3.87	NA	2.83	6	ED
Q8BP27-2	0.589	0.567	NA	NA	0.039	1.79	NA	2.86	107.0	6	ED
Q9DBF7	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1	ED
P58929	0.509	0.062	NA	NA	NA	13.3	NA	NA	35.7	4	ED
O54784	0.259	NA	NA	NA	NA	0.55	1.43	NA	0.267	4	ED
Q6P9R4-2	0.436	0.38	0.021	0.046	0.24	21.6	1.91	2.47	2.95	9	ED
D3Z481	0.03	NA	0.12	NA	0.153	0.115	NA	0.526	0.341	6	ED
P23949	0.038	NA	NA	NA	NA	13.0	NA	NA	0.748	3	ED
Q7TND5	0.066	NA	NA	NA	NA	NA	NA	NA	5.84	2	ED
Q9CPY3	NA	NA	NA	NA	NA	NA	NA	NA	0.364	1	ED
A2AH22-2	NA	NA	NA	NA	NA	NA	NA	NA	0.802	1	ED
Q64302	NA	NA	0.178	NA	NA	1.39	NA	NA	0.151	3	ED
Q8CE33	0.246	NA	NA	NA	NA	0.135	NA	NA	0.121	3	ED
Q6P5E6	0.5	3.39	0.08	1.49	0.059	4.24	3.08	23.2	38.0	9	ED
Q64337	1.54	3.21	0.103	0.161	8.4	22.7	1.01	5.77	53.1	9	ED
Q8K2C7-2	0.249	2.63	0.16	NA	31.0	6.55	73.2	1.19	2.24	8	ED
Q9QWT9-2	NA	NA	NA	NA	NA	NA	NA	0.224	10.3	2	ED
Q9D517	1.47	209.0	20.2	35.6	22.4	5.47	0.501	2.41	6.89	9	ED
Q6PB93-2	0.099	0.622	0.04	0.589	1.11	2.06	5.49	0.627	2.88	9	ED
Q91XL2	NA	NA	NA	NA	NA	NA	NA	NA	0.092	1	ED
Q6ZQF0	NA	NA	NA	NA	NA	NA	0.214	0.261	0.217	3	ED
Q3V300	NA	NA	NA	NA	NA	NA	NA	NA	1.05	1	ED
Q7TME2	NA	NA	NA	NA	NA	NA	NA	0.073	1.81	2	ED
Q07832	0.116	NA	NA	NA	NA	NA	NA	0.664	6.85	3	ED
Q80WE4-3	9.16	NA	NA	NA	NA	NA	NA	NA	1.52	2	ED
Q8CD10	0.102	0.282	0.038	NA	0.57	0.475	8.42	0.302	1.14	8	ED
F2Z4A3	4.58	NA	0.007	0.54	0.769	0.552	NA	0.033	0.507	7	ED
E9PVB5-2	0.181	NA	NA	NA	NA	13.0	NA	NA	0.252	3	ED
P97477	0.046	NA	NA	NA	NA	NA	NA	NA	2.31	2	ED
F8VQB6	0.074	NA	NA	NA	NA	0.302	0.343	NA	0.323	4	ED
Q9QYM8	0.15	NA	NA	NA	NA	NA	NA	NA	31.6	2	ED
Q9Z104	NA	NA	NA	NA	NA	NA	NA	NA	1.99	1	ED
Q8BG48	NA	NA	NA	NA	NA	NA	NA	17.7	0.369	2	ED
P18155	0.249	0.044	0.062	NA	0.004	0.253	185.0	13.0	33.5	8	ED
Q3UQ28	0.023	2.94	11.0	5.39	0.003	11.8	4.14	0.63	1.72	9	ED
Q640N1	NA	0.095	NA	NA	0.004	0.524	NA	NA	2.07	4	ED
Q7TSY8	0.116	NA	NA	NA	NA	NA	NA	NA	0.652	2	ED
Q80WW9	0.163	0.992	NA	1.13	10.4	2.16	49.3	16.8	16.1	8	ED
Q9CZP3	NA	NA	NA	NA	NA	NA	NA	NA	0.91	1	ED
Q9R049-2	6.88	0.264	NA	0.228	25.8	0.111	NA	0.46	1.37	7	ED
Q9D958	NA	3.04	NA	NA	9.21	1.47	43.8	5.3	9.54	6	ED
Q9JJ00	0.152	NA	NA	NA	2.88	6.18	NA	1.47	1.87	5	ED
Q3UK78-2	NA	NA	NA	NA	NA	NA	NA	NA	20.6	1	ED
Q9Z1A1	258.0	38.3	22.8	60.5	164.0	147.0	119.0	38.7	35.9	9	UN
P63260	3205.0	171.0	218.0	211.0	332.0	315.0	171.0	3050.0	8996.0	9	UN
P97314	0.515	NA	22.0	57.4	16.7	58.1	3.49	38.2	8.89	8	UN
Q9Z1K5	10.8	1.82	0.172	0.113	0.257	3.22	73.8	7.28	33.9	9	UN
D3YWT1	69.4	1.6	52.0	133.0	24.2	56.6	8.53	3.59	28.8	9	UN
Q6PEV3	1.24	NA	NA	NA	NA	NA	9.26	NA	1.53	3	UN
Q9WUR9	542.0	2.02	26.3	181.0	9.13	0.305	0.183	NA	123.0	8	UN
Q7TMM9	3433.0	290.0	430.0	781.0	391.0	268.0	97.0	204.0	2901.0	9	UN
Q61233	6.81	88.1	40.4	49.2	55.7	602.0	54.5	7106.0	248.0	9	UN
Q62523	22.3	0.765	67.6	2.22	0.152	622.0	6.68	51.6	51.4	9	UN
Q3UMU9-4	6.93	9.29	0.598	0.15	28.3	64.9	1.91	13.1	65.8	9	UN
P05064	2389.0	1714.0	3731.0	561.0	79.8	833.0	259.0	4991.0	2065.0	9	UN
Q8VCI5	30.9	58.1	70.4	121.0	77.2	139.0	119.0	18.4	105.0	9	UN
O35639	12.9	129.0	60.7	107.0	2.3	1851.0	82.4	191.0	115.0	9	UN
P35700	973.0	1304.0	854.0	1876.0	5741.0	2470.0	979.0	1713.0	1800.0	9	UN
Q80X90	12.7	1024.0	280.0	2321.0	2514.0	1599.0	2125.0	420.0	177.0	9	UN
Q3TC93	0.889	5.59	60.2	44.1	16.3	103.0	45.3	50.3	76.6	9	UN
O54988-2	111.0	90.9	102.0	51.1	4.57	480.0	169.0	170.0	9.65	9	UN
Q6ZWX6	666.0	160.0	143.0	132.0	20.8	225.0	1700.0	270.0	217.0	9	UN
P52480	5165.0	5343.0	2995.0	3210.0	156.0	1823.0	2991.0	3662.0	2078.0	9	UN
Q9Z0P5	55.1	27.9	106.0	1.32	0.781	152.0	6.02	280.0	53.7	9	UN
Q91YR1	11.5	58.8	6.16	36.2	16.0	145.0	74.5	94.7	107.0	9	UN
Q9CWJ9	69.2	201.0	139.0	187.0	196.0	444.0	188.0	502.0	189.0	9	UN
P06151	1351.0	3896.0	1121.0	1017.0	1643.0	1300.0	399.0	8064.0	1182.0	9	UN
O70475	0.174	12.0	2.67	137.0	573.0	12.9	6.95	10.1	53.3	9	UN
Q9WVE8	8.52	43.1	132.0	296.0	2.23	238.0	304.0	92.8	47.8	9	UN
P63073	299.0	58.2	13.8	19.9	6.39	40.3	161.0	115.0	141.0	9	UN
O88477	NA	NA	NA	NA	NA	NA	NA	NA	21.9	1	UN
O70310	45.4	81.0	6.57	11.3	4.61	30.5	341.0	51.4	119.0	9	UN
P40124	319.0	226.0	120.0	247.0	1022.0	1387.0	219.0	7594.0	316.0	9	UN
P14152	5058.0	2167.0	4356.0	1761.0	352.0	980.0	1038.0	10174.0	1309.0	9	UN
P05201	1179.0	207.0	2982.0	476.0	178.0	153.0	183.0	170.0	360.0	9	UN
Q91V12-2	513.0	1.53	65.6	32.2	NA	191.0	0.403	4.01	51.4	8	UN
Q9EPU0-2	70.2	107.0	77.8	47.8	83.7	257.0	328.0	203.0	64.4	9	UN
P09671	3278.0	3148.0	3595.0	1626.0	4627.0	1271.0	1088.0	259.0	463.0	9	UN
P62827	330.0	114.0	138.0	397.0	586.0	651.0	447.0	200.0	583.0	9	UN
Q3U4W8	325.0	474.0	655.0	519.0	810.0	342.0	404.0	370.0	153.0	9	UN
Q99MN1	30.6	171.0	63.8	61.3	41.7	174.0	284.0	282.0	191.0	9	UN
P60603	2.25	0.77	1.72	NA	NA	NA	1.9	NA	15.4	5	UN
Q3UPL0	107.0	343.0	66.0	166.0	347.0	441.0	949.0	238.0	75.0	9	UN
P62774	343.0	74.8	37.8	278.0	147.0	186.0	191.0	137.0	662.0	9	UN
Q80XP8	NA	NA	NA	NA	NA	NA	NA	NA	1.89	1	UN
Q61035	14.7	142.0	16.2	29.6	7.18	60.5	221.0	155.0	46.5	9	UN
Q3UGC7	3.43	35.9	26.1	3.48	4.57	30.2	271.0	50.6	17.3	9	UN
Q9D1Q6	41.6	40.5	14.2	245.0	163.0	401.0	885.0	120.0	164.0	9	UN
Q3TJD7	NA	6.19	1.14	NA	0.124	11.2	1.63	28.4	7.66	7	UN
P08249	1598.0	5131.0	5412.0	4484.0	1919.0	1329.0	4070.0	5233.0	1620.0	9	UN
P60710	3182.0	153.0	216.0	211.0	323.0	287.0	169.0	2995.0	8555.0	9	UN
P49312	2143.0	25.8	1014.0	3579.0	555.0	1035.0	35.5	155.0	564.0	9	UN
P52479	53.4	23.7	0.366	20.7	26.8	5.38	5.86	6.17	27.8	9	UN
P26040	67.5	191.0	700.0	2123.0	133.0	2633.0	83.8	3018.0	316.0	9	UN
Q6P542	8.31	40.8	347.0	13.4	20.5	31.2	126.0	94.9	60.3	9	UN
Q78ZA7	20.5	81.0	48.4	9.41	3.31	119.0	43.5	198.0	167.0	9	UN
Q8C0D5	9.06	15.3	4.57	0.86	3.11	38.9	174.0	58.2	5.36	9	UN
O70591	631.0	11.0	16.3	14.6	5.07	23.3	72.8	73.1	235.0	9	UN
Q9Z1Z2	94.0	85.6	18.8	30.3	9.4	88.1	102.0	149.0	155.0	9	UN
P17751	3517.0	1798.0	595.0	249.0	1701.0	404.0	848.0	912.0	962.0	9	UN
P63085	549.0	73.4	15.0	128.0	10.3	285.0	83.6	176.0	51.1	9	UN
Q8CFQ9	293.0	50.9	205.0	379.0	223.0	376.0	45.8	159.0	436.0	9	UN
P18760	4868.0	374.0	80.5	166.0	1591.0	722.0	553.0	7542.0	4056.0	9	UN
Q9CPU0	594.0	136.0	323.0	332.0	1690.0	236.0	550.0	130.0	791.0	9	UN
O35129	50.4	779.0	372.0	362.0	255.0	191.0	287.0	256.0	294.0	9	UN
Q9D892	375.0	60.0	169.0	326.0	68.2	191.0	50.8	65.1	310.0	9	UN
Q8C788	0.233	4.08	0.168	0.257	0.267	8.09	3.57	10.3	1.79	9	UN
P97855	75.1	82.7	118.0	196.0	145.0	278.0	28.4	203.0	98.0	9	UN
Q99P72	604.0	45.6	128.0	28.8	51.8	369.0	15.7	31.3	63.8	9	UN
Q9CPS5	52.1	26.6	26.2	8.0	19.6	30.3	11.8	38.1	8.61	9	UN
P26043	42.2	340.0	996.0	652.0	161.0	1167.0	91.5	328.0	244.0	9	UN
Q9CWF2	2758.0	259.0	432.0	214.0	381.0	239.0	99.4	193.0	3770.0	9	UN
B0R030	46.6	4.89	7.59	35.1	12.2	36.2	8.3	10.8	96.2	9	UN
Q8C253	NA	11.2	3.6	35.1	203.0	204.0	1.87	165.0	225.0	8	UN
P48036	2543.0	1311.0	291.0	3756.0	56.0	2595.0	1574.0	948.0	329.0	9	UN
Q91VM5	71.1	2.52	51.7	130.0	183.0	99.5	9.93	18.0	131.0	9	UN
E0CZE0	32.4	28.9	3.09	4.61	0.587	18.3	42.1	23.2	98.5	9	UN
Q99020	528.0	78.1	455.0	3300.0	1417.0	780.0	260.0	505.0	1302.0	9	UN
Q9JIB0	0.219	NA	NA	NA	NA	NA	NA	0.957	0.24	3	UN
Q62348	61.7	36.4	18.6	59.4	53.0	91.2	66.6	56.1	123.0	9	UN
Q8C3X8	0.26	2.65	0.348	0.674	1.22	0.875	34.3	0.709	1.03	9	UN
Q9D6R2	2591.0	3014.0	522.0	278.0	46.2	144.0	111.0	165.0	529.0	9	UN
Q8BZM1	0.549	0.176	NA	NA	0.003	NA	NA	0.151	18.7	5	UN
P35290	12.9	9.95	2.43	9.04	4.62	3.02	2.66	6.97	1.81	9	UN
Q5FWK3	18.3	32.5	4.43	36.5	1.09	337.0	61.9	153.0	79.8	9	UN
Q9QUR7	82.1	4.16	9.38	23.6	2.32	34.3	2.14	47.6	217.0	9	UN
P63101	4463.0	511.0	424.0	409.0	266.0	1216.0	363.0	6104.0	2688.0	9	UN
Q8BH69	4.53	8.77	17.7	51.5	18.9	91.5	103.0	67.5	50.0	9	UN
Q7TQI3	231.0	68.4	97.6	66.0	5.21	105.0	159.0	120.0	277.0	9	UN
Q05D44	8.92	47.8	12.0	21.6	286.0	88.6	1444.0	151.0	42.2	9	UN
Q61937	441.0	34.5	249.0	1853.0	708.0	458.0	312.0	3886.0	1411.0	9	UN
P49615	80.8	57.4	1.34	7.04	2.15	28.5	45.2	48.6	5.66	9	UN
Q7TQH0-2	120.0	20.8	5.04	0.079	1.38	141.0	55.9	46.4	66.7	9	UN
P05202	1980.0	433.0	4454.0	2475.0	624.0	830.0	1234.0	360.0	546.0	9	UN
Q9CQ92	24.1	173.0	35.0	54.2	39.6	155.0	50.3	104.0	125.0	9	UN
P46467	0.811	32.9	1.6	2.78	2.39	32.1	11.8	57.2	45.6	9	UN
Q91VZ6	41.7	19.1	0.665	1.42	0.69	54.8	5.87	29.2	6.84	9	UN
P61082	160.0	30.9	14.1	11.2	0.835	52.2	41.2	52.1	20.5	9	UN
P51859	108.0	154.0	50.0	149.0	219.0	490.0	396.0	439.0	79.0	9	UN
P62962	172.0	539.0	238.0	198.0	163.0	1351.0	539.0	8565.0	6812.0	9	UN
Q9D0S9	13.0	67.5	235.0	360.0	68.8	90.3	105.0	5.58	219.0	9	UN
P60335	230.0	106.0	64.0	781.0	327.0	428.0	1365.0	328.0	809.0	9	UN
Q9JJA4	0.056	2.06	0.447	NA	0.268	1.61	2.21	20.4	14.2	8	UN
P27612	12.6	49.7	8.92	8.96	4.23	60.9	23.3	1225.0	85.2	9	UN
Q9JIX0	15.7	13.6	1.12	4.18	1.98	20.2	10.5	10.6	126.0	9	UN
Q06138	35.6	50.1	17.9	42.4	3.22	219.0	85.3	132.0	39.4	9	UN
Q8R5L1	574.0	332.0	498.0	299.0	57.0	112.0	139.0	147.0	153.0	9	UN
Q62422	4.95	54.0	11.0	114.0	3.02	87.6	42.9	173.0	15.2	9	UN
Q61696	343.0	75.9	15.6	51.2	27.5	128.0	28.2	59.3	81.1	9	UN
Q64674	671.0	25.0	2.13	7.44	8.63	38.8	224.0	135.0	347.0	9	UN
Q99KQ4	27.1	965.0	1047.0	251.0	583.0	112.0	51.8	113.0	88.3	9	UN
P08003	333.0	480.0	684.0	755.0	640.0	1311.0	5449.0	6421.0	290.0	9	UN
Q64433	907.0	1622.0	519.0	266.0	212.0	302.0	1283.0	19166.0	2177.0	9	UN
Q8BFR5	982.0	2422.0	1837.0	567.0	480.0	475.0	300.0	383.0	215.0	9	UN
Q8VDM6	58.5	28.3	44.9	69.4	52.9	177.0	10.2	96.4	42.4	9	UN
Q99MR6-2	70.2	17.2	70.5	221.0	108.0	96.9	18.8	49.4	56.5	9	UN
P97384	11.9	36.6	14.8	113.0	12.3	214.0	13.2	120.0	20.0	9	UN
Q6ZWY9	149.0	65.9	6.3	3.47	210.0	120.0	171.0	225.0	1387.0	9	UN
Q6IRU2	83.3	188.0	201.0	1346.0	138.0	1887.0	150.0	721.0	397.0	9	UN
Q80X50-2	64.5	13.7	5.67	0.107	13.6	62.2	25.5	49.4	100.0	9	UN
Q9CY58	466.0	25.9	817.0	323.0	155.0	599.0	88.9	143.0	104.0	9	UN
O54962	92.2	65.7	148.0	297.0	455.0	278.0	65.9	205.0	589.0	9	UN
Q9QYJ3	3.69	3.94	0.083	0.817	0.195	7.4	3.02	26.5	43.4	9	UN
Q922Y1	9.31	27.5	2.95	8.4	3.89	56.6	14.4	42.9	204.0	9	UN
O35900	38.3	19.3	30.3	84.4	107.0	33.9	19.8	53.0	323.0	9	UN
Q6P5F9	115.0	144.0	48.6	77.7	24.0	232.0	23.1	352.0	208.0	9	UN
Q9WV55	228.0	125.0	87.4	178.0	89.5	402.0	338.0	92.3	186.0	9	UN
Q9CPN8	NA	NA	NA	NA	1.34	NA	NA	0.149	55.7	3	UN
Q921K2	10.6	2.81	160.0	157.0	135.0	85.5	327.0	2540.0	30.3	9	UN
Q9CQR6	40.7	15.3	41.3	23.6	2.0	85.0	79.8	85.1	7.16	9	UN
Q9CX86	781.0	116.0	260.0	2076.0	277.0	753.0	236.0	228.0	650.0	9	UN
Q9JIK5	0.319	0.935	74.1	238.0	202.0	160.0	34.4	1173.0	101.0	9	UN
Q9DBR7	1.86	14.4	7.58	0.13	0.468	83.2	6.71	25.4	35.3	9	UN
Q99LP6	36.0	533.0	201.0	221.0	3836.0	72.2	88.0	47.4	179.0	9	UN
E9Q1S3	59.9	44.1	23.7	148.0	292.0	110.0	118.0	62.5	55.9	9	UN
Q99JF8	736.0	1.75	89.6	308.0	177.0	123.0	6.88	11.8	130.0	9	UN
Q9CSH3	0.267	0.56	0.305	3.01	0.803	3.64	0.492	24.5	25.8	9	UN
P35550	457.0	19.0	178.0	1062.0	1924.0	572.0	32.7	65.5	366.0	9	UN
Q9QZL0	NA	NA	NA	NA	0.015	0.217	NA	6.36	2.8	4	UN
Q9EQH3	273.0	370.0	123.0	553.0	359.0	369.0	268.0	243.0	84.5	9	UN
Q9CVB6	196.0	244.0	52.4	141.0	202.0	475.0	151.0	8184.0	85.4	9	UN
Q99J36	15.2	8.9	1.84	1.0	0.851	28.3	23.5	52.8	113.0	9	UN
Q99KB8-2	172.0	374.0	95.4	423.0	566.0	191.0	212.0	159.0	139.0	9	UN
P54071	178.0	3092.0	4029.0	579.0	1835.0	1165.0	1261.0	467.0	399.0	9	UN
Q7TNV0	112.0	4.27	81.5	399.0	77.0	215.0	1.81	27.0	49.9	9	UN
P22907-2	14.9	21.9	3.56	32.4	1.84	15.6	10.0	169.0	34.9	9	UN
P14211	710.0	1277.0	470.0	2652.0	4853.0	3562.0	4253.0	6140.0	2154.0	9	UN
P11440	NA	NA	NA	NA	NA	0.161	NA	111.0	137.0	3	UN
P54823	9.8	37.5	1.81	14.5	3.26	64.3	33.2	63.9	87.2	9	UN
P27773	2416.0	1244.0	703.0	3789.0	1920.0	3242.0	6444.0	5458.0	1103.0	9	UN
Q9Z1Z0	125.0	256.0	40.6	214.0	74.1	239.0	424.0	225.0	66.3	9	UN
P37040	104.0	928.0	454.0	1479.0	642.0	5296.0	81.0	203.0	234.0	9	UN
Q61584-4	0.22	15.9	194.0	29.9	0.493	21.1	3.82	11.9	90.1	9	UN
Q9Z1N5	133.0	80.0	7.05	30.6	33.8	176.0	26.8	171.0	307.0	9	UN
Q9WVA3	48.1	8.71	17.8	50.9	33.9	76.3	14.0	155.0	141.0	9	UN
Q3TIV5	1.17	4.73	1.67	NA	0.797	3.97	76.0	22.9	64.7	8	UN
Q921T2	0.812	2.84	NA	NA	2.89	2.35	2.36	21.8	28.6	7	UN
Q91VH2	0.583	31.5	3.17	8.85	1.69	35.4	7.05	66.7	3.33	9	UN
Q9QXT0	91.3	24.2	3.98	162.0	170.0	334.0	527.0	40.0	262.0	9	UN
O88569	4687.0	799.0	2018.0	12442.0	4129.0	2734.0	373.0	1233.0	1904.0	9	UN
P20108	743.0	1680.0	2093.0	1404.0	186.0	630.0	669.0	298.0	307.0	9	UN
Q99LC5	1330.0	7274.0	5710.0	1329.0	677.0	1020.0	655.0	319.0	742.0	9	UN
Q8K019-2	210.0	9.58	37.8	247.0	162.0	212.0	9.64	47.5	66.7	9	UN
Q9D104	8.35	8.58	1.1	8.7	2.82	7.79	165.0	7.73	50.0	9	UN
P60670	13.5	32.2	11.0	20.5	8.66	26.2	35.7	40.2	50.7	9	UN
Q9CYG7	15.1	2.54	4.48	8.2	0.274	14.4	3.75	123.0	43.3	9	UN
Q3TIR3	1.77	NA	0.053	NA	0.041	0.65	0.609	9.69	29.1	7	UN
P08113	905.0	1915.0	1773.0	2200.0	5129.0	4574.0	4175.0	5756.0	841.0	9	UN
Q99LG0	NA	1.9	NA	0.075	0.074	0.521	22.5	0.595	17.5	7	UN
Q8K094	0.06	1.34	NA	NA	0.019	0.796	0.443	NA	6.1	6	UN
P70362	7.77	23.2	3.32	2.64	2.29	25.9	4.94	20.8	7.5	9	UN
P26516	254.0	55.6	78.3	242.0	148.0	212.0	105.0	109.0	33.1	9	UN
Q8R3F9	0.546	NA	NA	NA	0.066	NA	NA	1.85	45.1	4	UN
Q8BMF4	507.0	2301.0	2011.0	1438.0	47.1	240.0	308.0	89.1	94.7	9	UN
A2AMY5	0.035	1.02	0.927	0.128	0.431	17.1	24.4	5.28	75.3	9	UN
O35286	90.2	53.0	32.4	148.0	41.2	135.0	44.6	303.0	70.9	9	UN
P23116	235.0	1053.0	231.0	1157.0	251.0	912.0	3941.0	1281.0	82.7	9	UN
P11499	2095.0	3405.0	4395.0	2593.0	3101.0	3650.0	1125.0	5828.0	1513.0	9	UN
Q61768	63.4	130.0	112.0	177.0	32.6	477.0	163.0	84.2	50.1	9	UN
Q91VK1	0.079	1.98	722.0	3.76	0.381	9.98	17.1	36.6	35.4	9	UN
