prot	BRAIN	BROWN_ADIPOSE_TISSUE	HEART	KIDNEY	LIVER	LUNG	PANCREAS	SPLEEN	WHOLE_ORGANISM	tcount	def
P34884	473.0	7.41	183.0	516.0	178.0	140.0	57.9	33.7	281.0	9	ED
Q8K3C3	810.0	52.0	19.9	13.7	3.02	48.5	21.4	70.4	123.0	9	ED
P28063	NA	7.51	1.05	12.2	23.2	86.0	11.4	329.0	4.68	8	ED
Q03173-6	9.96	0.842	0.363	0.366	NA	34.0	1.79	3.18	45.9	8	ED
Q6GT24	976.0	280.0	337.0	847.0	2892.0	2796.0	154.0	160.0	847.0	9	ED
Q9CQM5	14.8	18.0	7.59	224.0	2.24	53.2	165.0	30.6	637.0	9	ED
Q64727	95.8	2758.0	876.0	932.0	269.0	4424.0	449.0	1994.0	134.0	9	ED
Q8BP92	14.7	3.39	1.04	NA	0.083	46.9	29.3	3.78	14.4	8	ED
P60766	1149.0	68.7	21.8	106.0	249.0	618.0	56.9	115.0	523.0	9	ED
F8VPT3	0.009	NA	NA	NA	NA	NA	NA	NA	0.19	2	ED
O70274	4.1	7.44	0.59	7.31	1.99	32.5	8.63	15.4	5.47	9	ED
Q8BGD9	28.0	71.7	12.1	1.91	8.74	49.8	197.0	177.0	171.0	9	ED
Q922B2	118.0	302.0	112.0	168.0	99.4	296.0	264.0	290.0	28.7	9	ED
Q3UGR5	1098.0	153.0	203.0	97.5	58.0	59.2	10.8	43.2	112.0	9	ED
Q9QXD8	0.045	1.38	0.623	NA	0.229	74.1	13.5	8.93	1.53	8	ED
Q9CR16	75.1	136.0	86.5	45.6	38.4	162.0	79.1	400.0	352.0	9	ED
Q9DAR7	57.1	24.9	32.1	25.6	3.71	99.3	28.2	93.4	157.0	9	ED
Q60864	205.0	938.0	197.0	366.0	128.0	641.0	894.0	9582.0	225.0	9	ED
Q99J77	47.3	46.6	13.4	12.0	9.84	226.0	894.0	147.0	27.7	9	ED
P58404-2	23.7	1.61	0.136	0.095	0.12	22.3	0.937	2.7	8.37	9	ED
Q91V76	59.2	705.0	5.6	1302.0	180.0	71.6	248.0	61.4	121.0	9	ED
P63280	56.9	38.9	8.68	60.0	19.4	185.0	42.0	521.0	739.0	9	ED
A1L341	1.09	0.267	NA	NA	NA	NA	0.218	NA	3.34	4	ED
A2A8E2	18.1	92.2	12.3	19.2	9.47	47.2	46.5	57.7	98.0	9	ED
P42669	2545.0	97.1	191.0	69.5	208.0	261.0	146.0	112.0	112.0	9	ED
Q9DBJ1	2981.0	1938.0	1005.0	2498.0	1826.0	904.0	205.0	395.0	631.0	9	ED
P70671	0.517	11.2	15.7	20.1	1.49	44.0	68.2	51.1	3.42	9	ED
Q9CWK8	18.6	245.0	25.2	113.0	17.2	204.0	354.0	2020.0	50.9	9	ED
P63158	664.0	620.0	707.0	2278.0	682.0	2296.0	335.0	1014.0	863.0	9	ED
Q62446	284.0	82.6	279.0	133.0	131.0	155.0	721.0	163.0	219.0	9	ED
Q9JMH6-2	89.4	75.5	27.7	246.0	77.7	78.4	29.4	33.1	60.2	9	ED
P31938	852.0	54.8	30.7	71.6	2.26	128.0	29.5	91.9	126.0	9	ED
P30681	49.5	68.9	190.0	302.0	89.8	787.0	61.4	608.0	205.0	9	ED
P32921-2	256.0	112.0	12.0	17.1	2.15	156.0	323.0	126.0	75.9	9	ED
Q8BL97-3	13.9	3.88	1.08	0.684	108.0	12.8	15.3	74.1	201.0	9	ED
P83741-4	12.1	13.0	4.66	0.194	0.24	65.9	3.55	8.75	24.5	9	ED
Q8VEH6	6.79	1.75	0.272	0.139	0.1	1.56	0.796	4.15	39.2	9	ED
Q9WUA6-2	26.2	2.52	0.212	NA	NA	1.32	0.358	1.82	1.56	7	ED
Q9CZD3	114.0	258.0	249.0	87.4	7.29	155.0	897.0	120.0	85.6	9	ED
P30416	210.0	269.0	259.0	248.0	108.0	603.0	222.0	454.0	567.0	9	ED
Q61081	49.4	89.0	63.7	90.8	3.57	115.0	115.0	243.0	168.0	9	ED
O35685	22.4	40.5	28.8	51.6	6.5	77.6	318.0	210.0	451.0	9	ED
Q8K183	1317.0	134.0	20.9	199.0	34.7	91.6	31.4	103.0	142.0	9	ED
P84096	60.0	22.6	11.4	59.8	142.0	142.0	23.3	114.0	35.7	9	ED
